word,type,meanings
jauregi,noun,palace
jausi,verb,to fall
jautsi,verb,(dialectal) Alternative form of jaitsi (“to descend”)
jeltzale,adjective,of the Basque Nationalist Party
jeltzale,noun,a member of the Basque Nationalist Party
jengibre,noun,ginger
jetzi,verb,"to milk (a cow, etc.)"
jirafa,noun,giraffe
jo,verb,"to hit, strike, punch | (music) to play | to knock, rap | to crash | to head, go | to blow (the wind)"
joan,verb,"to go | to concern, affect, involve"
joera,noun,"tendency, propensity, inclination trend | behavior | (nautical) course | (law) appeal, recourse"
jokatu,verb,"to play | to behave, act | to act, perform, play | (linguistics) to conjugate, decline"
jorrail,noun,April
jostailu,noun,toy
jostun,noun,tailor
jota,noun,The name of the Latin-script letter J.
K.a.,adverb,Initialism of Kristo aurretik (“B.C.”).
-ka,suffix,Used to form adverbs from nouns.
ka,noun,The name of the Latin-script letter K.
kafe,noun,coffee
kafesne,noun,white coffee
kaixo,interjection,"hello, hi"
kaka,noun,excrement
kakahuete,noun,peanut
kakalardo,noun,(insects) beetle
kako,noun,hook
kako,noun,allative singular of ka
kale,noun,street
kalimotxo,noun,calimocho (drink)
kalkulagailu,noun,calculator
kalte,noun,damage
kaltegarri,adjective,"detrimental, harmful, injurious"
kaltzio,noun,calcium
kaltzita,noun,(mineralogy) calcite
kameu,noun,cameo (relief work)
kanguru,noun,kangaroo (marsupial)
kanpai,noun,bell
kapar,noun,thicket | tick
karabela,noun,caravel
karbono,noun,carbon
karburagailu,noun,"carburetor, carburettor"
kardu urdin,noun,Mediterranean sea holly (Eryngium bourgatii Gouan)[1]
-kari,suffix,Used in names of meals.
-kari,suffix,Alternative form of -ari
karlistada,noun,(history) One of the Carlist Wars.
karlistaldi,noun,(history) One of the Carlist Wars.
karpan,noun,tent
karramarro,noun,crab | dredge
karratu,noun,(geometry) square (shape) | (mathematics) square (product)
karrika,noun,street
karroin,noun,ice
katagorri,noun,squirrel
katagorri arrunt,noun,red squirrel (Sciurus vulgaris)
katalana,noun,(language) Catalan
kate,noun,chain (series of interconnected rings or links usually made of metal)
katioi,noun,cation
katodo,noun,cathode
katu,noun,"(animate) cat | (animate) catfish | (inanimate) jack | (inanimate, colloquial) drunkenness | (inanimate) trigger of a gun"
katuarrain,noun,catfish
kazakhera,noun,The Kazakh language
kazetari,noun,journalist
ke,noun,smoke
kemen,noun,energy | courage
-keria,suffix,Used to create abstract nouns with negative connotations
ketsu,adjective,smoky
-ki,suffix,"fragment, piece | Forms nouns with a given number of components. | meat (as food) | Forms nouns denoting objects used to perform an action. | produce, yield"
-ki,suffix,"Used to form adverbs from adjectives; -wise, -ly"
kilate,noun,"karat, carat"
-kile,suffix,Alternative form of -gile
kilo-,prefix,kilo-
kilogramo,noun,kilogram
kilotoi,noun,kiloton
kimika,noun,chemistry
kimikari,noun,chemist
-kin,suffix,Alternative form of -gin
kiribil,adjective,"coiled, coiled up"
kiribil,noun,spiral | (botany) tendril
kirol,noun,sport
kirolari,noun,"sportsman, sportswoman"
kirolari,noun,dative singular of kirol
kiroldegi,noun,sports center
kloroformo,noun,(chemistry) chloroform
-ko,suffix,"Forms the locative case. | Noun-forming suffix with various functions. related to, near Forms words expressing a hit or strike | After -z (instrumental case marker): made of | Forms the future tense."
koaderno,noun,notebook
koala,noun,koala
koartza,noun,heron
koba,noun,cave | cavern
kobre,noun,copper
koilara,noun,spoon
koinata,noun,sister-in-law
koinatu,noun,brother-in-law
kokots,noun,chin
kokotx,noun,"The fleshy underpart of a fish's jaw, a delicacy in Basque cuisine."
kokozpeko,noun,double chin
kolore,noun,color/colour
komiki,noun,comic (cartoon story)
konpondu,verb,"to repair, fix, mend | to solve | to manage, get by, sort out | to get along, get on, settle"
kontrol-dorre,noun,(aviation) control tower
kontsonante,noun,consonant
koronabirus,noun,(virology) coronavirus
korsikera,noun,The Corsican language
koru,noun,choir
kotxe,noun,car
krispeta,noun,popcorn
kroaziar,adjective,Croatian
kroaziar,noun,A Croatian person (man or woman)
kroaziera,noun,The Croatian language
krokodilo,noun,crocodile
kromosfera,noun,(astronomy) chromosphere
ku,noun,The name of the Latin-script letter Q.
kuantu,noun,(physics) quantum
kuku,noun,"cuckoo | hidden, lurking"
kuku-porru,noun,foxglove
kukutxeztul,noun,whooping cough
kulero,noun,"panties, knickers."
kultura,noun,"culture | refinement, culture"
kuma,noun,A cradle.
-kume,suffix,"Forms names for the young of various animals, -ling, -let | Forms pejorative names for the children of people who engage in socially reproachable activities."
kume,noun,"cub, pup"
-kunde,suffix,"(non-productive) Forms abstract nouns, usually related to actions of verbs; -tion"
kuttun,adjective,(endearing) darling; dear
kutun,adjective,"dear, darling | favorite, preferred (referring to children)"
kutun,noun,"(inanimate) amulet | (inanimate, Christianity) scapular | (inanimate) pincushion | (animate) dear, darling | (animate) favorite, preferred child"
-la,conjunction,"that | while, as"
-n,conjunction,"which, that | Used to form indirect questions."
labana,noun,knife
labar,noun,cliff | firelighter; small block of flammable substance used to light fires
labe,noun,oven | furnace
labe garai,noun,blast furnace
labezomorro,noun,cockroach
labur,adjective,"short | mean, stingy"
labur,adverb,"shortly, briefly"
laga,verb,"to let, to allow | to leave"
lagun,noun,friend | person
lagundu,verb,to help
laguntza,noun,help
lagün,noun,(Souletin) Alternative form of lagun
lahar,noun,bramble
lain,noun,part
laino,noun,"fog, mist | cloud"
-lako,conjunction,because
laku,noun,lake
lan,noun,"work, task | labour | annoyance, trouble"
lanbro,noun,fog | cataract
landa,noun,"country | field, piece of land"
landa,postposition,except | outside
landare,noun,plant (organism capable of photosynthesis)
landare-ikatz,noun,charcoal
langar,noun,drizzle
lantegi,noun,"workplace | workshop, factory"
lapar,noun,bramble
lapitz,noun,pencil
lapur,noun,thief
lapurkume,noun,(derogatory) son or daughter of a thief
lapurreria,noun,Synonym of lapurreta
lapurreta,noun,"rob, theft"
lapurtu,verb,to steal | to become a thief
lapurtxori,noun,magpie
laranja,noun,orange (fruit) | orange (color)
laranja,adjective,having the colour of the fruit of an orange tree.
laratro,noun,(Biscayan) Synonym of daratulu
-lari,suffix,Alternative form of -ari
lari,noun,(numismatics) lari
-larik,conjunction,"while, when"
larrazken,noun,autumn
larrugorri,adjective,naked
larunbat,noun,Saturday
laser,noun,laser
lastail,noun,October
laster,adjective,fast
laster,adverb,soon
lasto,noun,straw
lau,adjective,"flat, level | plain, simple"
lau,adverb,simply
lau,noun,"plain (an open, grassy, mostly treeless land)"
lauburu,noun,"a traditional Basque symbol with four curved 'heads' joined in the centre, somewhat in the manner of a swastika, fylfot or gammadion"
laugarren,adjective,(ordinal) fourth
laugarren,noun,(ordinal) fourth
lauhortz,noun,four-toothed rake (for ploughing) | fork
laukoitz,adjective,fourfold
laurden,noun,"(fractional) fourth, quarter"
laut,noun,lute
-le,suffix,Forms agent noun from verbs.
lehen,adjective,(ordinal) first | (mathematics) prime
lehen,noun,"(animate or inanimate, ordinal) first | (inanimate, mathematics) prime number"
lehen solairu,noun,first floor (UK) ; second floor (US)
lehendabizi,adverb,"before, earlier | firstly, in the first place"
lehendakari,noun,lehendakari | president
leher,noun,pine
leher,verb,Infinitive of lehertu.
lehergailu,noun,"bomb, explosive device"
lehoi,noun,lion
lei,noun,"ice, frost"
leiar,noun,lens
leiho,noun,window
leitu,verb,to freeze | to read
leku,noun,place | position | surroundings
lelo,noun,(music) refrain
lentzeria,noun,lingerie
lepho,noun,(Souletin) Alternative form of lepo
lepo,noun,neck | (Biscayan) shoulder
lepoko,noun,necklace
leptoi,noun,(physics) lepton
lera,noun,"sledge, sleigh"
letoniera,noun,The Latvian language
leun,adjective,"smooth | flat | nice, pleasant | polished"
leun,adverb,softly
-liar,suffix,Alternative form of -ar
liburu,noun,book
liburutegi,noun,library
likido,noun,liquid
limoi,noun,lemon
lipschitzar,adjective,"Lipschitzian, Lipschitz"
litio,noun,lithium
litosfera,noun,(geology) lithosphere
lituaniera,noun,The Lithuanian language
lizar,noun,ash (genus Fraxinus).
lizarki,noun,The wood of the ash tree. | The resin of the ash tree.
liztor,noun,wasp
liztortzar,noun,hornet
lo,noun,sleep
lo egin,verb,to sleep
lodi,adjective,"thick, fat (of a person)[1] | low, deep (voice)"
lodikor,adjective,likely or tending to become fat
logela,noun,bedroom
lorail,noun,May
lorategi,noun,garden
loratu,verb,"to flower, blossom, bloom | to flourish, thrive"
lore,noun,flower
lore-hauts,noun,pollen
loredenda,noun,"florist's, flower shop"
Loriaga,noun,A habitational surname​.
lotazil,noun,December
lotsa,noun,"shame | respect, deference | awe, fear"
lotu,verb,"to tie, to fasten | to join"
lu,noun,"pussy, vagina"
lupa,noun,magnifying glass
lur,noun,"earth, soil | land | (electricity) earth, ground"
lurrikara,noun,earthquake
luze,adjective,long
luze,adverb,widely
luzetasun,noun,"length, lengthiness"
m-,prefix,Non-productive expressive prefix.
ma-,prefix,Non-productive prefix without a specific meaning.
madari,noun,pear
mahai,noun,table
mahats,noun,grape | vine shoot
mahuka,noun,sleeve
maiatz,noun,May
mailu,noun,hammer
maionesa,noun,mayonnaise
maitasun,noun,love
maitatu,verb,to love
maitatzaile,noun,lover
maite,adjective,"dear, beloved"
maite,noun,"(animate) love, dear | love"
maite izan,verb,love | like
maitemin,noun,infatuation
maitetasun,noun,love
makar,noun,gum (in the eye)
maketo,adjective,(derogatory) an immigrant from another part of Spain
makito,adjective,"(Biscayan) foolish, stupid"
maltera,noun,The Maltese language
mamu,noun,ghost
mandar,noun,apron
mando,noun,mule
mantar,noun,cloth
mapa,noun,map
marasma,noun,spider
margotu,verb,to paint
margoztatu,verb,to paint
marikoi,noun,(derogatory) faggot
marroi,adjective,brown
marrubi,noun,strawberry (plant) | strawberry (fruit)
marti,noun,March
martitzen,noun,Tuesday
martxo,noun,March
maskulinotasun,noun,masculinity
masusta,noun,blackberry | mulberry
matematikari,noun,mathematician
mazedoniera,noun,The Macedonian language
mea,noun,mineral | ore
meatze,noun,mine (excavation from which ore or solid minerals are taken)
mediku,noun,doctor
mehe,adjective,skinny | thin
melokotoi,noun,peach
men,noun,A command
menda,noun,(botany) mint
mendate,noun,mountain pass
mende,noun,century
mendebal,noun,west | west wind
mendi,noun,mountain
merkatu,noun,market | (economics) stock market
merkatu,verb,to cheapen
merkatü,noun,(Souletin) Alternative form of merkatu
merke,adjective,cheap
merkhatü,noun,(Souletin) Alternative form of merkatu
merkurioa,noun,mercury
mertxika,noun,peach
mesede,noun,favour
mesedez,noun,instrumental indefinite of mesede
mesedez,interjection,please
meta,noun,heap
metafora,noun,(rhetoric) metaphor
meza,noun,(religion) mass
mezu,noun,message
mezulari,noun,messenger (person who delivers a message)
mezularitza,noun,messenger service
mihi,noun,tongue
mika,noun,magpie
mikrofono,noun,microphone
mikroskopio,noun,microscope
mila esker,interjection,"thanks, thank you, many thanks, thanks a million, thanks a bunch, thanks a lot"
milesker,interjection,(informal) Contraction of mila esker.
min,adjective,"spicy, hot, bitter | painful | intimate | (chiefly Northern) strong, intense"
min,noun,"pain | suffering | nostalgia, longing | desire, wish"
min,noun,(Biscayan) Alternative form of mihi (“tongue”)
mina,noun,lead (of a pencil) | mine (device intended to explode when stepped on)
mina,verb,Infinitive of minatu.
mina,adjective,absolutive singular of min
mina,noun,absolutive singular of min
minatu,verb,to mine (to sow mines in)
minbizi,noun,cancer
mineralogia,noun,mineralogy
mingrana,noun,pomegranate
minigona,noun,miniskirt.
mintzatu,verb,speak | talk
minutu,noun,minute
misantropo,noun,"misanthrope, misanthropist"
misil,noun,missile
modu,noun,way | manner
moko,noun,beak
molde,noun,manner
monasterio,noun,monastery
mongoliera,noun,The Mongolian language
more,noun,purple
motel,noun,stammerer
motozikleta,noun,motorcycle
motz,adjective,"short | cold, inexpressive | uncultivated, ignorant | crude, coarse"
motz,adverb,"shortly, briefly"
mozkor,adjective,drunk
muga,noun,"limit, border, frontier | moment, time"
mugan,noun,inessive singular of muga (“border”)
mugan,postposition,"(+genitive, locative) after (a period of time (in the past)) | about to, on the verge of"
mugurdi,noun,raspberry
munstro,noun,monster
muoi,noun,(physics) muon
murtxikatu,verb,to chew
mus,noun,(card games) A traditional Basque card game.
museo,noun,museum
musika,noun,music
musikari,noun,musician
musker,noun,lizard
musu,noun,"kiss | face, countenance | snout"
mutil,noun,"boy, young man | guy, lad | apprentice, artisan | (archaic, derogatory) servant, slave"
mutu,adjective,dumb | mute
mutur,noun,snout | end | nose
naba,noun,valley
nagusi,adjective,"main, principal"
nagusi,noun,"(used as a title) boss; king, prince"
nahi,noun,"will, wish | liking, fondness"
nahi izan,verb,to want
nano,adjective,"dwarf, miniature, minuscule"
nano,noun,"(animate) dwarf, midget | (inanimate, astronomy) dwarf star"
nare,adjective,calm
narkotrafiko,noun,illegal drug trade
nasa,noun,(nautical) dock | (rail transport) platform
nasai,adjective,ample
naski,adverb,maybe
nazioarteko,adjective,international
NBE,noun,Acronym of norbera babesteko ekipamendua (“PPE (personal protective equipment)”).
neba,noun,(Biscayan) brother of a female
nederlandera,noun,The Dutch language
negar,noun,weeping
negu,noun,winter
neguil,noun,December
neizar,noun,star
nekatu,verb,"to tire, exhaust, bore | to get tired, bored"
nekatuta,adjective,tired
nekazari,noun,agriculturist
nekazaritza,noun,agriculture
nenufar,noun,water lily
neologismo,noun,(linguistics) neologism
neon,noun,neon
neon,noun,neon sign
neska,noun,girl | maid
neskatila,noun,"girl, young woman"
neskenegun,noun,Saturday
neu,pronoun,(emphatic) First-person singular personal pronoun; I
neure burua,pronoun,First-person singular reflexive pronoun; myself
neurri,noun,"measure | size, dimension"
neutroi,noun,neutron
ni,pronoun,First-person singular personal pronoun; I
-nik,conjunction,"Negative polarity item used to form relative clauses, that"
nitrogeno,noun,nitrogen
noar,noun,star
noetherdar,adjective,noetherian
nola,adverb,how
nor,pronoun,(interrogative) who
nor,adjective,"(grammatical term, used as a modifier) (of a verb) intransitive without a dative argument"
nor nori,adjective,(grammatical term) (of a verb) intransitive with a dative argument
nor nori nork,adjective,"(grammatical term, used as a modifier) (of a verb) taking absolutive, dative  and ergative agreement, transitive with an indirect object"
nor nork,adjective,"(grammatical term, used as a modifier) (of a verb) taking both absolutive and ergative agreement but no dative; transitive without an indirect object"
nor-nori,adjective,Alternative spelling of nor nori.
nor-nori-nork,adjective,Alternative spelling of nor nori nork.
nor-nork,adjective,Alternative spelling of nor nork.
norbait,pronoun,someone
norvegiera,noun,The Norwegian language
o,noun,The name of the Latin-script letter O.
o-,prefix,combining form of ogi (“bread”)
oasi,noun,oasis
objektu,noun,object
odol,noun,blood | (figuratively) bloodline | (figuratively) courage
odolzale,adjective,"bloodthirsty, sanguinary"
ogi,noun,bread
ohe,noun,bed
OHE,noun,UFO
ohean sartu,verb,get into bed
oheratu,verb,"to go to bed, lie down | to sleep with, have sex with (with a comitative noun phrase or pronoun) | to sleep together, have sex, make love (with a plural subject, and, usually, elkarrekin, 'with each other')"
ohoin,noun,thief
oilar,noun,"rooster, cock"
oilasko,noun,chicken (animal) | chicken (food)
oilaur,noun,pimple
oilo,noun,hen
oin,noun,foot
oinarri,noun,"foundation, base | (figuratively) principle | (economics) capital | (linear algebra) basis"
oka,noun,"nausea, indigestion | vomit"
oka egin,verb,"to vomit, throw up"
okela,noun,slice | chunk | meat
okin,noun,baker
okindegi,noun,bakery
okzitaniera,noun,The Occitan language
olagarro,noun,octopus
olde,noun,impulse
olerkari,noun,poet
olerkaritza,noun,poetry
olerki,noun,poem | poetry
olibondo,noun,olive tree
olo,noun,oat
omonier,noun,"(Navarro-Lapurdian, Souletin, religion) chaplain"
on,adjective,"good | useful, convenient"
onddo,noun,fungus | mushroom
-ondo,suffix,"Forms tree names from fruit names. | next to, adjacent"
ondo,noun,"side, space beside | bottom, space below | (in compounds only, Navarro-Lapurdian) tree, trunk | (Navarrese, Navarro-Lapurdian) effect, consequence, residue"
ondo,adverb,"(chiefly Biscayan)  well, good, alright | (chiefly Biscayan) very"
ongi,adverb,"well, good, alright | very"
ongi etorri,interjection,welcome
onil,noun,funnel
onomatopeia,noun,onomatopoeia
ontzi,noun,"container | (plural only) dishes, dishware | ship, vessel | (analytical chemistry) cuvette"
opari,noun,"gift, present"
opor,noun,vacation
or,noun,dog
orain,adverb,now
orburu,noun,artichoke
-orde,suffix,"substitute, deputy"
ordenagailu,noun,computer
ordenatu,verb,"to put in order, to arrange"
ordots,noun,"boar, male pig"
ordu,noun,hour
ore,noun,dough
orein,noun,deer
oreka,noun,balance
orgasmo,noun,orgasm
orientazio,noun,orientation
orientazio sexual,noun,sexual orientation
orkatila,noun,(anatomy) ankle
orlegi,adjective,green
orlegi,noun,green color
oro,adjective,all
orpo,noun,(anatomy) heel
orratz,noun,(sewing) needle | (medicine) needle
orri,noun,"leaf | sheet of paper, page (piece of paper) | page (side of a piece of paper)"
orril,noun,May
ortzadar,noun,rainbow
ortzegun,noun,Thursday
ortzi,noun,"sky | (Navarro-Lapurdian) storm, thunder | (Navarro-Lapurdian) thundercloud | (Navarro-Lapurdian) brightness of the sky, daylight | (dated, Souletin) atmosphere"
ortzi,adjective,"(Biscayan, Gipuzkoan) cloudy"
ortzirale,noun,Friday
osaba,noun,uncle
osasun,noun,health
oskol,noun,bark
oso,adjective,"whole, complete | all"
oso,adverb,"very, much"
ospe,noun,"fame | glory | (Biscayan) stir, fuss"
ospitale,noun,hospital
ostadar,noun,rainbow
ostalari,noun,guest
oste,noun,horde (a large number of people or things)
oste,noun,back (the side of any object which is opposite the front)
ostean,postposition,"[+genitive] behind | [+instrumental] as well as, in addition to"
ostean,noun,inessive singular of oste
ostegun,noun,Thursday
ostiral,noun,Friday
ostruka,noun,ostrich
osziloskopio,noun,oscilloscope
ot-,prefix,combining form of ogi (“bread”)
otarteko,noun,sandwich
ote,noun,"gorse, furze"
ote,particle,Used to form tentative yes/no questions.
oteka,adverb,"(Souletin) looking for gorse, carrying gorse"
oteka,adverb,"wondering, in doubt"
otordu,noun,meal
otsail,noun,February
otso,noun,wolf
otso-gizon,noun,werewolf
oxigeno,noun,oxygen
ozeano,noun,ocean
ozpin,noun,"thunder | thunderbolt, lightning bolt"
ozpin,noun,vinegar
ozpin,adjective,surly
oztin,adjective,"sky blue, azure"
pa,noun,kiss
pago,noun,beech
paita,noun,duck
pakete,noun,"package, packet, parcel"
pandemia,noun,(epidemiology) pandemic
panparroi,noun,(Gipuzkoan) Alternative form of fanfarroi
pansexualitate,noun,pansexuality
panti,noun,pantyhose.
papaia,noun,papaya
parke,noun,park
parra,noun,Nonstandard form of barre.
partizipio,noun,(grammar) participle
pasaporte,noun,passport
patata,noun,potato
patxaran,noun,patxaran
pauso,noun,step (an advance or movement made from one foot to the other) | step (a distinct part of a process)
pe,noun,The name of the Latin-script letter P.
penintsula,noun,peninsula
pentsatu,verb,"to think | to ponder, reflect | to have an opinion"
perretxiko,noun,mushroom
pertsona,noun,person
pika,noun,magpie
piku,noun,fig
pil-pil,interjection,"(onomatopoeia) thump-thump, lub-dub (the sound of a heart beating) | (onomatopoeia) Imitation of boiling."
pilota,noun,jai alai (ball game)
pilotaleku,noun,jai alai court
pilotari,noun,jai alai player
pinpilinpauxa,noun,butterfly
pintxo,noun,pintxo
pinu,noun,pine
piraña,noun,piranha
pirolisi,noun,"(chemistry, physics) pyrolysis"
pistola,noun,pistol; gun
pisu,noun,weight
piztu,verb,to switch on
plaia,noun,"(colloquial, dated) beach"
plangintza,noun,planning
planta,noun,aspect
plantain,noun,plantain
plaza,noun,"plaza, town square, public place | market place"
poeta,noun,poet
poker,noun,belch
polen,noun,pollen
polit,adjective,"pretty, lovely"
politikari,noun,politician
polizia,noun,police
polje,noun,(geology) polje
poloniera,noun,The Polish language
ponpa,noun,pump
ponte,noun,font
pornografia,noun,pornography
pornografiko,adjective,pornographic
porru,noun,leek
porru-hazi,noun,"(informal) benefit, profit, gain"
porrusalda,noun,"A soup dish from the Basque Country, Navarre and La Rioja made with leeks, potatoes and carrots. | A traditional Basque dance."
portugaldar,adjective,Portuguese
portugaldar,noun,a Portuguese person
portugalera,noun,The Portuguese language
portuges,adjective,Portuguese
portuges,noun,(animate) a Portuguese person
portuges,noun,(inanimate) the Portuguese language
pospolo,noun,match
postari,noun,postman or postwoman
pot,noun,kiss
pota bota,verb,to vomit
potasio,noun,potassium
pozoi,noun,poison | venom
pozoidun,adjective,"poisonous, venomous"
pozoidura,noun,poisoning
pozoitasun,noun,toxicity
pozoitsu,adjective,"poisonous, venomous"
pozoitu,verb,to poison
presidente,noun,president
prezio,noun,price
primadera,noun,spring
prost,interjection,cheers (toast when drinking alcohol)
prostituta,noun,prostitute
prostituzio,noun,prostitution
protoi,noun,proton
psikologia,noun,psychology
puska,noun,piece
putakume,noun,(derogatory) son of a bitch
putetxe,noun,brothel
-ra,suffix,Forms the allative case.
rabbi,noun,(Judaism) rabbi
robot,noun,robot
robotika,noun,robotics
sabai,noun,ceiling
sabel,noun,"(anatomy) The abdomen or belly, or that part of the body between the thorax and the pelvis. | (zoology) The posterior section of the body, behind the thorax, in insects, crustaceans, and other Arthropoda."
sable,noun,"sabre, saber"
sabre,noun,"sabre, saber"
sagar,noun,apple (fruit)
sagardo,noun,cider
sagarrondo,noun,apple tree
sagu,noun,"(animate) mouse (small rodent) | (inanimate, computing) mouse (input device)"
saguzar,noun,bat
sai,noun,vulture
sail,noun,area
sakela,noun,pocket
salda,noun,broth
saldo,noun,heap | herd
saldu,verb,to sell | to betray
salmenta,noun,sale
sama,noun,neck
sardexka,noun,fork
sare,noun,net
sari,noun,"payment | value | award, prize"
sartalde,noun,west
sartu,verb,"to enter, go in, come in. get into | to put in, insert, penetrate | to invest | to plant"
saskibaloi,noun,basketball
satandre,noun,weasel
satitsu,noun,shrew
sator,noun,mole (animal)
satsu,adjective,dirty
sehaska,noun,A cradle.
seigarren,adjective,(ordinal) sixth
seigarren,noun,(ordinal) sixth
seikoitz,adjective,sixfold
sein,noun,child
seiren,noun,(fractional) sixth
sekretu,noun,secret
seme,noun,son
sen,noun,mind
senar,noun,husband
senargai,noun,fiancé
senatu,noun,senate
sendagile,noun,"doctor, physician"
senide,noun,sibling | close relative
sentsore,noun,sensor
serbiera,noun,The Serbian language
serbokroaziera,noun,Serbo-Croatian (language)
setemere,noun,September
setio,noun,siege
sexu,noun,sex | sex (gender)
sexu-joera,noun,sexual orientation
sexualitate,noun,sexuality
siku,adjective,dry
sineresi,noun,(chemistry) syneresis | (linguistics) synaeresis
sinestezin,adjective,unbelievable
sinkrotroi,noun,(physics) synchrotron
sinkroziklotroi,noun,(physics) synchrocyclotron
sits,noun,moth
siziliera,noun,The Sicilian language
so,noun,look
soil,adjective,"bald | bare, simple | barren | (Navarro-Lapurdian) only, unique"
soil,adverb,"alone, empty | completely, very"
soilik,adverb,"just, only | plainly, simply"
soilik,adjective,partitive indefinite of soil
soin,noun,body
soinu,noun,(acoustics) sound | sound
soka,noun,rope
soldadu,noun,soldier
somaliera,noun,The Somali language
sonolumineszentzia,noun,(physics) sonoluminescence
sor,adjective,numb
sorbalda,noun,shoulder
sorgin,noun,witch
sortalde,noun,east
sortu,verb,"(intransitive) to originate, to emerge, to be born | (transitive) to create, to conceive, to invent, to found, to produce"
sortu,verb,(transitive or intransitive) to deafen
su,noun,fire
sudur,noun,nose | trunk (The extended and articulated nose or nasal organ of an elephant)
suediera,noun,The Swedish language
sufre,noun,sulfur
sugar,noun,flame
suge,noun,snake
suhi,noun,son-in-law
suhiltzaile,noun,firefighter
suizidio,noun,suicide
sukaldari,noun,cook
sukalde,noun,kitchen
sumendi,noun,volcano
supermerkatu,noun,supermarket
supernoba,noun,(astronomy) supernova
sur,noun,(Biscayan) Alternative form of sudur
surflari,noun,(sports) surfer
susmo,noun,"suspicion, mistrust | hint, trace, vestige"
sü,noun,(Souletin) Alternative form of su
ta,conjunction,Alternative form of eta
taberna,noun,"pub, tavern, inn"
tailandiera,noun,The Thai language
tajikera,noun,The Tajik language
talde,noun,group | team | (music) band | (sports) team | (mathematics) group
talkagailu,noun,(physics) collider
talo,adjective,"chubby, plump"
talo,noun,"talo, a flat maize-cake similar to corn tortillas"
talo,noun,"(botany) stem, shaft"
tanto,noun,dot
-tar,suffix,Alternative form of -ar
taratulu,noun,(Biscayan) Alternative form of daratulu
tarte,noun,"interval | lapse | crack, gap"
tarteka,adverb,intermittently
-tasun,suffix,"Forms nouns from adjectives, -ness, -th"
tatami,noun,tatami
tati,noun,The act of offering and not giving.
taula,noun,board | game board | table (information arranged in rows and columns)
taulada,noun,"stage, platform"
tauromakia,noun,"bullfighting, tauromachy"
taxi,noun,taxi
taxilari,noun,taxi driver
te,noun,tea
te,noun,The name of the Latin-script letter T.
-tegi,suffix,Forms nouns indicating a location.
teilatu,noun,tiled roof
teklatu,noun,keyboard (on a computer or piano)
teknologia,noun,technology
tele-,prefix,tele- (over a distance) | tele- (relating to television)
teleaulki,noun,chairlift
telebista,noun,television (media)
telefono,noun,telephone
teleskopio,noun,telescope
telezabor,noun,"(colloquial, derogatory) trash TV"
tenis,noun,tennis
tenislari,noun,(sports) tennis player
tente,noun,"upright, standing"
teorialari,noun,theorist
termosfera,noun,(meteorology) thermosphere
tigre,noun,tiger
tiorba,noun,(music) theorbo
tipula,noun,onion
titulu,noun,title
tobera,noun,hopper | nozzle
toil,noun,conger eel
toki,noun,place | position | surroundings
tomate,noun,tomato
topa,noun,"toast (e.g., to one’s health)"
topa,interjection,cheers (toast when drinking alcohol)
topo,noun,crash
torloju,noun,screw (fastener)
tornulari,noun,turner
tortura,noun,torture
trabes,noun,"bet, wager"
tradizio,noun,tradition
traiektoria,noun,trajectory
trakea,noun,trachea
traktore,noun,tractor
tranbia,noun,tram
transformadore,noun,(electrical engineering) transformer
tren,noun,"(transport, railway) train"
tropikal,adjective,tropical
troposfera,noun,(meteorology) troposphere
-tsu,suffix,Used to create adjectives from nouns.
ttaka-ttaka,adverb,step by step
ttipi,adjective,"small, little"
-tu,suffix,"A verb-forming suffix. | Used to form adjectives, roughly corresponding to the English past participle forming suffix -ed."
turkiera,noun,The Turkish language
txahal,noun,calf
txakaviera,noun,Chakavian
txakhür,noun,(Souletin) Alternative form of txakur
txakoli,noun,Nonstandard form of txakolin.
txakolin,noun,txakoli (a white wine from the Basque Country)
txakur,noun,dog | (derogatory) cop
txakurkume,noun,puppy
txanpon,noun,coin
txantxangorri,noun,robin (Erithacus rubecula)
txapel,noun,beret
txapeldun,noun,"champion, winner | beret wearer"
txar,adjective,"bad, evil | wrong, faulty, defective, imperfect"
txaro,adverb,"(Larraun) throughout, completely"
txarri,noun,(Biscayan) Alternative form of txerri
txarro,noun,despicable person | jug; pitcher
txartel,noun,card
txatxar,adjective,"(Biscayan) contemptible, insignificant | (Biscayan) dwarf, miniature | (Biscayan) evil, wicked"
txatxarkeria,noun,"(Biscayan) trifle, bagatelle | (Biscayan) cheat, trick"
txekiera,noun,The Czech language
txermen,noun,pear
txerri,noun,"pig | (informal, derogatory) slob"
txerriki,noun,pork (the meat of a pig)
txerrikume,noun,piglet
txerto,noun,(horticulture) grafting | (immunology) vaccine
txetnik,noun,chetnik
-txi,suffix,"Diminutive suffix, sometimes used for other purposes."
txibia,noun,squid
txigorgailu,noun,toaster
txiki,adjective,"small, little"
txikoria,noun,chicory
tximeleta,noun,butterfly
tximino,noun,monkey
txin-txin,interjection,clink | cheers (toast when drinking alcohol)
txinera,noun,The Chinese language
txingurri,noun,ant
txipiroi,noun,squid
txirrin,noun,"(inanimate) bell, doorbell | (animate) swift (bird)"
txirrindu,noun,bicycle
txirrindulari,noun,cyclist
txirrindularitza,noun,cycling
txirula,noun,flute
txita,noun,chick
-txo,suffix,Forms diminutives.
txokolate,noun,chocolate
txolarre,noun,sparrow
txori,noun,bird
txotx,interjection,Used to announce that the cider is going to be poured
